name,KEGG
GLUCOSAMINE 6-PHOSPHATE_3M-3H+2Na,C00352
GLUCOSAMINE 6-PHOSPHATE_M-H+HCOONa,C00352
GLUCOSAMINE 6-PHOSPHATE_3M-H,C00352
1-METHYL-L-HISTIDINE_M-H,C01152
1-METHYL-L-HISTIDINE_2M-2H+K,C01152
D-GLUCOSAMINE-1-PHOSPHATE_2M-2H+Na,C06156
D-GLUCOSAMINE-1-PHOSPHATE_3M-3H+2Na,C06156
D-GLUCOSAMINE-1-PHOSPHATE_3M-H,C06156
D-GLUCOSAMINE-1-PHOSPHATE_2M-H,C06156
D-GLUCOSAMINE-1-PHOSPHATE_M-H+HCOONa,C06156
D-GLUCOSAMINE-1-PHOSPHATE_M+Cl,C06156
D-GLUCOSAMINE-1-PHOSPHATE_M-H,C06156
LYSINE_2M-2H+Na,C00047
LYSINE_M-H+HCOONa,C00047
LYSINE_M-H,C00047
D-GLUCURONOLACTONE_M+CF3COO,C02670
D-GLUCURONOLACTONE_M-H+HCOONa,C02670
D-GLUCURONOLACTONE_M+Cl,C02670
D-GLUCURONOLACTONE_M+COOH,C02670
D-GLUCURONOLACTONE_M-H,C02670
D-GLUCURONOLACTONE_M-H + HCOOH,C02670
D-GLUCURONOLACTONE_2M-H,C02670
BOVINOCIDIN_2M-2H+Na,C05669
BOVINOCIDIN_2M-H,C05669
BOVINOCIDIN_3M-3H+2Na,C05669
BOVINOCIDIN_M-2H+Na,C05669
BOVINOCIDIN_M-H+HCOONa,C05669
BOVINOCIDIN_2M-2H+K,C05669
BOVINOCIDIN_M-H,C05669
HOMOCYSTINE_2M-H,C01817
HOMOCYSTINE_M-2H+K,C01817
HOMOCYSTINE_M-H,C01817
HOMOCYSTINE_M+e,C01817
HOMOCYSTINE_2M-2H+Na,C01817
HOMOCYSTINE_M-2H+Na,C01817
TREHALOSE-6-PHOSPHATE_2M-2H+Na,C00689
TREHALOSE-6-PHOSPHATE_M-H,C00689
TREHALOSE-6-PHOSPHATE_2M-H,C00689
TREHALOSE-6-PHOSPHATE_M-H+HCOONa,C00689
QUINOLINATE_M-H + HCOOH,C03722
QUINOLINATE_M-2H+Na,C03722
QUINOLINATE_M-H,C03722
QUINOLINATE_3M-3H+2Na,C03722
QUINOLINATE_M+COOH,C03722
QUINOLINATE_M-H+HCOONa,C03722
QUINOLINATE_2M-2H+Na,C03722
XANTHOSINE_M+e,C01762
XANTHOSINE_M-H,C01762
XANTHOSINE_M-H+HCOONa,C01762
XANTHOSINE_2M-2H+Na,C01762
XANTHOSINE_M+CF3COO,C01762
XANTHOSINE_2M-H,C01762
XANTHOSINE_M+Cl,C01762
XANTHOSINE_3M-H,C01762
DEOXYURIDINE_M+Cl,C00526
DEOXYURIDINE_M-H+HCOONa,C00526
DEOXYURIDINE_M+CF3COO,C00526
DEOXYURIDINE_M+COOH,C00526
DEOXYURIDINE_M-H + HCOOH,C00526
DEOXYURIDINE_M-H,C00526
GLUCOSE 6-PHOSPHATE_3M-3H+2Na,C00092
GLUCOSE 6-PHOSPHATE_M-2H+Na,C00092
GLUCOSE 6-PHOSPHATE_M-H+HCOONa,C00092
GLUCOSE 6-PHOSPHATE_3M-H,C00092
GLUCOSE 6-PHOSPHATE_M-H,C00092
GLUCOSE 6-PHOSPHATE_2M-2H+Na,C00092
GLUCOSE 6-PHOSPHATE_2M-H,C00092
4-PYRIDOXATE_M-H+HCOONa,C00847
4-PYRIDOXATE_3M-3H+2Na,C00847
4-PYRIDOXATE_M-H,C00847
4-PYRIDOXATE_2M-H,C00847
4-PYRIDOXATE_2M-2H+Na,C00847
4-PYRIDOXATE_2M-2H+K,C00847
SUCCINIC ANHYDRIDE_M-H,C19524
NICOTINAMIDE HYPOXANTHINE DINUCLEOTIDE_M-2H+Na,C04423
NICOTINAMIDE HYPOXANTHINE DINUCLEOTIDE_M-H + HCOOH,C04423
NICOTINAMIDE HYPOXANTHINE DINUCLEOTIDE_M+COOH,C04423
NICOTINAMIDE HYPOXANTHINE DINUCLEOTIDE_M-H,C04423
GLUCOSAMINATE_2M-2H+Na,C03752
GLUCOSAMINATE_3M-3H+2Na,C03752
GLUCOSAMINATE_2M-H,C03752
