name,KEGG
5-OXO-D-PROLINE+Na,C01879
5-VALEROLACTONE,C02240
5-VALEROLACTONE,C02240
6-CARBOXYHEXANOATE,C02656
6-CARBOXYHEXANOATE+Na,C02656
6-CARBOXYHEXANOATE-H2O,C02656
6C-SUGAR ALCOHOL,NA
6-DEOXY-HEXOSE+Na,NA
6-DEOXY-L-GALACTOSE+K,C00382
6-DEOXY-L-GALACTOSE+Na,C00382
6-DEOXY-L-GALACTOSE-H2O,C00382
6-HYDROXYDOPAMINE-NH3,CA1404
6-HYDROXYNICOTINATE,C01020
6-HYDROXYNICOTINATE+Na,C01020
6-PHOSPHOGLUCONIC ACID,C00345
6-QUINOLINCARBOXYLIC ACID,NA
7-(b-HYDROXYETHYL)THEOPHYLLINE,NA
7-hydroxy-3-oxo-4-cholestenoic acid,C17337
7-hydroxy-3-oxo-4-cholestenoic acid+Na,C17337
7-KETOCHENODEOXYCHOLIC ACID,      
7-KETOCHENODEOXYCHOLIC ACID-water,      
7-KETOCHENODEOXYCHOLIC ACID-water,      
7-KETODEOXYCHOLIC ACID,      
7-KETODEOXYCHOLIC ACID+Na,      
7-KETODEOXYCHOLIC ACID-water,      
ACETOACETATE,C00164
ACETOACETATE+Na,C00164
ACETOMINOPHEN,NA
ACETYLARGININE,
ACETYLCARNITINE,NA
ACETYLCARNITINE (N-methyl-D3),NA
ACETYLCARNITINE+Na,C02571
ACETYLCHOLINE,C01996
ACETYLCITRULLINE,
ACETYL-L-CARNITINE-H2O,C02571
ACETYL-L-SERINE,C00979
ACETYL-L-SERINE+K,C00979
ACETYL-L-SERINE+Na,C00979
ACETYL-L-SERINE-H2O,C00979
ACETYL-L-SERINE-NH3,C00979
ACETYLPHENYLALANINE,
ACYL-CARNITINE(4-OH),NA
ACYL-CARNITINE(5-OH),NA
ADENINE,C00147
ADENINE+K,C00147
ADENINE+Na,C00147
ADENINE-NH3,C00147
ADENOSINE,C00212
"ADENOSINE 2',3'-CYCLIC MONOPHOSPHATE",CA1486
"ADENOSINE 2',3'-CYCLIC MONOPHOSPHATE+Na",CA1486
"ADENOSINE 3',5'-CYCLIC MONOPHOSPHATE",C00575
"ADENOSINE 3',5'-CYCLIC MONOPHOSPHATE+Na",C00575
"ADENOSINE 3',5'-DIPHOSPHATE",C00054
ADENOSINE 5'-DIPHOSPHORIBOSE,C00301
ADENOSINE 5'-DIPHOSPHORIBOSE+Na,C00301
ADENOSINE 5'-MONOPHOSPHATE,C00020
ADENOSINE+Na,C00212
ADENOSINE-5'-DIPHOSPHOGLUCOSE,C00498
ADENOSINE-5'-DIPHOSPHOGLUCOSE+Na,C00498
ADENOSINE-CYCLIC MONOPHOSPHATE,C00575
ADIPIC ACID/3-METHYGLUTARIC ACID,CA1042
ADIPIC ACID/3-METHYGLUTARIC ACID+Na,CA1042
ADIPIC ACID/3-METHYGLUTARIC ACID-H2O,CA1042
ADIPOYLCARNITINE,      
ADIPOYLCARNITINE+Na,      
AGMATINE SULFATE,C00179
AGMATINE SULFATE+Na,C00179
AGMATINE SULFATE-NH3,C00179
a-KETOGLUTARATE,NA
ALANINE/SARCOSINE,NA
ALDO/KETO-HEXOSE,NA
ALDOPENTOSE,NA
ALLANTOIN,C01551
ALLANTOIN+Na,C01551
ALLOCHOLIC ACID+Na,C17737
ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE,C00956
ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE+K,C00956
ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE+Na,C00956
ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE-H2O,C00956
ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE-NH3,C00956
ALPHA-D-GALACTOSE 1-PHOSPHATE,C00446
ALPHA-D-GALACTOSE 1-PHOSPHATE+Na,C00446
ALPHA-D-GALACTOSE 1-PHOSPHATE-H2O,C00446
ALPHA-D-GLUCOSE,C00293
ALPHA-D-GLUCOSE-H2O,C00293
ALPHA-MURICHOLIC ACID-H20,C17647
AMYLOSE,C00718
