name,KEGG
PHOSPHOSERINE-dimer,C01005
CAFFEINE,C07481
METHYLGUANIDINE-dimer,C02294
METHYLGUANIDINE,C02294
METHYLGUANIDINE-dimer+2H,C02294
SUCCINIC ANHYDRIDE,C19524
SUCCINIC ANHYDRIDE-dimer+2H,C19524
O-SUCCINYL-HOMOSERINE+K,C01118
O-SUCCINYL-HOMOSERINE-dimer,C01118
O-SUCCINYL-HOMOSERINE-dimer+Na,C01118
O-SUCCINYL-HOMOSERINE+Na,C01118
O-SUCCINYL-HOMOSERINE,C01118
THREITOL+Na,C16884
THREITOL,C16884
1-AMINOCYCLOPROPANECARBOXYLATE-dimer+2H,C01234
1-AMINOCYCLOPROPANECARBOXYLATE,C01234
PARAXANTHINE,C13747
PARAXANTHINE+2Na-H,C13747
D-ORNITHINE-dimer+2Na-H,C00515
D-ORNITHINE,C00515
D-ORNITHINE+2Na-H,C00515
D-ORNITHINE-dimer,C00515
D-ORNITHINE+Na,C00515
D-ORNITHINE-dimer+3Na-2H,C00515
3-SULFINOALANINE-dimer,C00606
3-SULFINOALANINE-dimer+NH4,C00606
3-SULFINOALANINE-dimer+2H,C00606
3-SULFINOALANINE,C00606
3-SULFINOALANINE+Na,C00606
PICOLINATE+Na,C10164
PICOLINATE,C10164
UROCANATE,C00785
UROCANATE+dimer+3Na-2H,C00785
THYROTROPIN RELEASING HORMONE+Na,C03958
THYROTROPIN RELEASING HORMONE,C03958
THYROTROPIN RELEASING HORMONE-dimer,C03958
THYROTROPIN RELEASING HORMONE+K,C03958
THYROTROPIN RELEASING HORMONE+Na,C03958
GLUCOSE 6-PHOSPHATE-dimer,C00092
GLUCOSE 6-PHOSPHATE,C00092
GLUCOSE 6-PHOSPHATE-dimer+Na,C00092
GLUCOSE 6-PHOSPHATE+NH4,C00092
GLUCOSE 6-PHOSPHATE+Na,C00092
PIPECOLATE+dimer+2Na-H,C00408
PIPECOLATE+Na,C00408
PIPECOLATE-dimer+Na,C00408
PIPECOLATE,C00408
PIPECOLATE-timer+2Na-H,C00408
BETAINE-dimer,C00719
BETAINE-dimer+Na,C00719
BETAINE-trimer,C00719
BETAINE+Na,C00719
BETAINE,C00719
BETAINE-dimer+K,C00719
QUINOLINATE+Na,C03722
QUINOLINATE,C03722
PHOSPHONOACETATE-dimer,C05682
PHOSPHONOACETATE,C05682
PHOSPHONOACETATE+NH4,C05682
PHOSPHONOACETATE-dimer+Na,C05682
PHOSPHONOACETATE+Na,C05682
1-METHYLADENOSINE,C02494
1-METHYLADENOSINE+Na,C02494
1-METHYLADENOSINE-dimer+Na,C02494
(2-AMINOETHYL)PHOSPHONATE-dimer+2H,C03557
(2-AMINOETHYL)PHOSPHONATE-dimer,C03557
(2-AMINOETHYL)PHOSPHONATE-trimer,C03557
(2-AMINOETHYL)PHOSPHONATE+Na,C03557
(2-AMINOETHYL)PHOSPHONATE,C03557
N-ACETYLGLYCINE-dimer+2Na-H,null
N-ACETYLGLYCINE +2Na-H,null
N-ACETYLGLYCINE-dimer,null
N-ACETYLGLYCINE ,null
N-ACETYLGLYCINE +Na,null
DEOXYURIDINE+K,C00526
DEOXYURIDINE+Na,C00526
DEOXYURIDINE-dimer,C00526
DEOXYURIDINE+2Na-H,C00526
DEOXYURIDINE-dimer+2Na-H,C00526
DEOXYURIDINE-dimer+Na,C00526
DEOXYURIDINE,C00526
1-METHYL-L-HISTIDINE-dimer+3Na-2H,C01152
1-METHYL-L-HISTIDINE-dimer,C01152
1-METHYL-L-HISTIDINE+Na,C01152
1-METHYL-L-HISTIDINE-dimer+2Na-H,C01152
1-METHYL-L-HISTIDINE-dimer+Na,C01152
1-METHYL-L-HISTIDINE+2Na-H,C01152
1-METHYL-L-HISTIDINE,C01152
NORVALINE+Na,C01799
NORVALINE+2Na-H,C01799
NORVALINE,C01799
CYSTEATE-trimer,C00506
CYSTEATE-dimer,C00506
CYSTEATE-2M+2H,C00506
CYSTEATE,C00506
CYSTEATE+NH4,C00506
CYSTEATE+Na,C00506
FUCOSE+NH4,C01019
FUCOSE+Na,C01019
FUCOSE-dimer+Na,C01019
FUCOSE+K,C01019
FUCOSE+2Na-H,C01019
TARTRATE+Na,C02107
TARTRATE-dimer+K,C02107
N-ALPHA-ACETYLLYSINE-dimer+Na,C12989
N-ALPHA-ACETYLLYSINE-dimer,C12989
